"id","name","sponsor","event","venue","place","physical_description","occasion","notes","call_number","date","location","currency","currency_symbol","status","page_count","dish_count"
22097,"","SOCIETY OF THE ARMY & NAVY OF THE CONFEDERATE STATES","ANNUAL BANQUET","MIL","CAROLLTON HOTELBALTIMOREMD","BOOKLET;ILLUS;5 X 7.5;","ANNUAL DINNER","TOASTS LISTED;WORDS FOR CAMP SONG INCLUDED;","1896-017","1896-01-20","SOCIETY OF THE ARMY  NAVY OF THE CONFEDERATE STATES","","","COMPLETE",8,23
22099,"","NEW HAVEN LINE - NARRAGANSETT BAY LINE","BREAKFAST","COMMERCIAL","ABOARD STEAMER RICHARD PECK","CARD; 5 X 8;","","UNPRICED MENU; DATE NOTED BY FB;","1900-658","1900-02-01","NEW HAVEN LINE NARRAGANSETT BAY LINE","","","COMPLETE",2,17
22100,"","ROYAL POINCIANA","DINNER","COMMERCIAL","PALM BEACH FL","CARD; ILLUS; COL; 4X7.25;","","HOTEL SEAL AT TOP OF MENU;","1901-798","1901-03-30","ROYAL POINCIANA","","","COMPLETE",2,59
22101,"","ALCAZAR HOTEL","LUNCHEON","COM","STAUGUSTINEFLA","BROADSIDE; COL; 4 X 7.5;","","","1901-479","1901-02-23","HOTEL ALCAZAR","","","COMPLETE",2,47
22102,"","COLONIAL HOTEL","LUNCHEON","COMMERCIAL","NASSAU THE BAHAMAS","CARD; 4 X 7.5;","","LOGO;","1901-197","1901-01-27","COLONIAL HOTEL","","","COMPLETE",2,63
22103,"","TRINITY CHURCH","IN HONOR OF ARTHUR HENRY MEISSITERMUSICAL DIRECTOR","RELIG","MAZETTISNY","BOOKLET[HARD COVER];ILLUS;6X8;","25TH ANNIVERSARY AS ORGANIST  CHOIR MASTER","TOASTS,COMPLETE LIST OF CHOIR;","1891-069","1891-06-11","TRINITY CHURCH","","","COMPLETE",8,19
22104,"","TAMPA BAY HOTEL","LUNCHEON","COMMERCIAL","TAMPA FL","CARD; COL; 4.5 X 7;","","GREEN STOCK; LOGO;","1901-695","1901-03-18","TAMPA BAY HOTEL","","","COMPLETE",2,44
22105,"","U.S.FLAGSHIP NEW YORK","LUNCH","NAV","NORTH ATLANTIC STATION NAVY YARDNY","CARD;5.25X8;","","MUSICAL PROGRAM;SEPARATE DOCUMENT WITH HISTORY OF SHIP AND ILLUSTRATION;","1899-818","1899-12-11","USFLAGSHIP NEW YORK","","","COMPLETE",2,17
22106,"","CONFEDERATE VETERAN CAMP OF NEW YORK","FIRST ANNUAL DINNER","PATR","NEW YORK HOTELNY","BOOKLET; ILL; 7.5X9","ANNUAL DINNER","FRONT AND BACK COVERS COVERED IN SILK LIKE FABRIC; MENU IN FRENCH; TOASTS LISTED; SONG PROGRAM LISTED; OFFICERS AND COMMITTEE MEMBERS LISTED; FASTENED AT LEFT WITH VELVET RIBBON","1891-007","1891-01-19","CONFEDERATE VETERAN CAMP OF NEW YORK","","","COMPLETE",12,24
22107,"","FLAT IRON RESAURANT AND CAFE","DINNER","COMMERCIAL","23RD STREET NEW YORK","CARD; COL; ILLUS; 7 X 12;","","PRICED MENU; RED AND GREEN PRINT; SMALL ILLUSTRATION OF FLAT IRON BUILDING;","1907-040","1907-01-07","FLAT IRON RESAURANT AND CAFE","DOLLARS","$","COMPLETE",2,50
22109,"","UNION LEAGUE","74TH BITHDAY OF US GRANT","SOC","PHILADELPHIA PA","BOOKLET; ILLUS; COL; 6.25 X 7;","COMPLIMENTARYTESTIMONIAL","LEATHER COVER WITH DRAWING OF U.S. GRANT; GUEST LIST; DRAWING OF BIRTHPLACE;","1896-094","1896-04-27","UNION LEAGUE","","","COMPLETE",20,26
22110,"","SPRINGFIELD CALEDONIANS","15NTH BURNS ANNIVERSARY","SOCIAL","HOTEL WORTHY","BOOKLET; ILLUS; 4.25 X 6.5;","ANNIVERSARYERSARY","COMPLETE PROGRAM LISTED;COMMITTEE MEMBERS INCLUDED;","1898-057","1898-01-25","SPRINGFIELD CALEDONIANS","","","COMPLETE",8,19
22111,"","PROFILE HOUSE AND HOTEL VENDOME","DINNER","COMMERCIAL","BOSTON MA AND WHITE MOUNTAINS NH","FOLDER; 5 X 7;","","GOLD AND SILVER CRESTS OF HOTELS ON COVER; SEE ALSO 1897-250;","1897-246","1897-08-15","HOTEL VENDOME AND PROFILE HOUSE","","","COMPLETE",4,52
22112,"","SUBURBAN PRESS ASS'N","SIXTH ANNUAL REUNION AND BANQUET","PROF","THE THORNDIKE BOSTON MA","FOLDER; 4X5.5;","SOCIAL","GOLD ORNAMENTATION;","1888-035","1888-04-09","SUBURBAN PRESS ASSN","","","COMPLETE",2,35
22113,"","SONS OF THE REVOLUTION","WASHINGTONS BIRTHDAY DINNER","PATR","DELMONICOS NEW YORK NY","FOLDER; ILL; 6X9;","PATRIOTIC HOLIDAY","MENU IN FRENCH; EQUESTRIAN STATUE OF WASHINGTON ON FRONT COVER; FASTENED AT TOP IN TWO PLACES WITH RED WHITE AND BLUE RIBBON; TOASTS LISTED; WORDS TO AMERICA IN FOUR VERSES;","1894-027","1894-02-22","SONS OF THE REVOLUTION","","","COMPLETE",4,17
22114,"","PRINCETON ALUMNI ASSOCIATION OF THE DISTRICT OF COLUMBIA AND SOUTHERN STATES","ANNUAL DINNER","EDUC","RAUSCHERS","CARD; ILLUS; COL; 5X7;","ANNIVERSARY","WINES LISTED WITH COURSE;","1906-069","1906-01-18","PRINCETON ALUMNI ASSOCIATION OF THE DISTRICT OF COLUMBIA AND SOUTHERN STATES","","","COMPLETE",2,24
22115,"","N.Y.&P.R.S.S.CO. - U.S.M.S. COAMO","LUNCHEON","COMMERCIAL","EN ROUTE","BROADSIDE; FLAG EMBLEM; 4.5X6.5;","DAILY","","1905-567","1905-07-13","NYPRSSCO USMS COAMO","","","COMPLETE",2,25
22116,"","R.I. ALPHA OF PHI DELTA THETA","SIXTH ANNUAL ANNIVERSARY BANQUET","GREEK LETTER FRATERNITY OR SORORITY","TILLINGHASTS PARLORS PROVIDENCE RI","BOOKLET; 5.25X6.25;","OTHER ANNIVERSARY","INCLUDES ""ORDER OF EXERCISES"" WITH LITERARY QUOTATIONS & COMMITTEE NAMES","1895-047","1895-03-01","RI ALPHA OF PHI DELTA THETA","","","COMPLETE",6,11
22117,"","NEW YORK PRODUCE EXCHANGE","EXCURSION AROUND THE HARBOR OF NEW YORK FOR THE MILLER NATIONAL ASSOCIATION","COM","HOFFMAN HOUSE CAFESTEAMBOAT GRAND REPUBLIC NEW YORK","BOOKLET; ILL; COL; 4.5X5.5","","BUFFET; COMMITTEE LISTED","1891-056","1891-05-13","NEW YORK PRODUCE EXCHANGE","","","COMPLETE",8,27
22118,"","THE OLIVIA RESTAURANT","WASHINGTONS BIRTHDAY DINNER","COMMERCIAL","JOPLIN MO","FOLDER; ILLUS; COL; 5.5X8;","PATRIOTIC HOLIDAY","DRAWING OF MOUNT VERNON ON COVER AND PROFILE OF WASHINGTON IN GOLD;","1907-258","1907-02-22","THE OLIVIA RESTAURANT","","","COMPLETE",4,22
22120,"","BALTIMORE AND OHIO RR","CAFE SERVICE MEALS","COMMERCIAL","ROYAL BLUE LINEWALDORF","CARD;","DAILY","WINE LIST;CAPITOL DOME PICTURED;","1901-765","1901-03-27","BALTIMORE AND OHIO RR","DOLLARS","$","COMPLETE",2,92
22122,"","POLAND SPRING HOUSE","MENU","COMMERCIAL","SOUTH POLAND ME","FOL; ILLUS; 5.2X7;","","ILLUSTRATION OF HOTEL ON COVERS OF MENU. ALSO LISTS NAME OF PROPRIETOR","1894-086","1894-01-01","POLAND SPRING HOUSE","","","COMPLETE",4,48
22124,"","AMERICAN GAS LIGHT ASSOCIATION","ANNUAL BANQUET","PROF","HOTEL PFISTER MILWAUKEE WI","BOOKLET; ILLUS; COL; 4X8.25;","ANNIVERSARY","WINES LISTED WITH COURSES; QUOTES THROUGHOUT; TOASTS LISTED; ILLUSTRATIONS OF GAS TANKS, METERS, ETC.;","1905-765","1905-10-19","AMERICAN GAS LIGHT ASSOCIATION","","","COMPLETE",16,25
22125,"","TAMPA BAY HOTEL","QUEEN VICTORIAS BIRTHDAY","COMMERCIAL","TAMPA FL","CARD; ILLUS; 5.25 X 8;","PATRIOTIC HOLIDAY","AMERICAN AND BRITISH FLAGS; QUOTE BLOOD IS THICKER THAN WATER;","1898-187","1898-05-24","TAMPA BAY HOTEL","","","COMPLETE",2,30
22126,"","NORDDEUTSCHER LLOYD BREMEN","SPEISENFOLGE","COMMERCIAL","SCHNELLDAMPFER HOHENZOLLERN","FOLDER; ILLUS; COL; 5.25X7.5;","","GERMAN & ENGLISH; ILLUSTRATION OF MYTHICAL SEA FIGURES, ANCHORS, MODEL OF STEAMSHIP; CONCERT PROGRAMM ON BACK COVER;","1901-953","1901-04-18","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",4,38
22127,"","THE CLARENDON","DINNER","COMMERCIAL","QUEBEC CANADA","CARD; ILLUS; COL; 3.5X6;","","BACK OF MENU CAN BE USED AS A POSTCARD;","1906-716","1906-09-22","THE CLARENDON","","","COMPLETE",2,30
22128,"","HAMBURG-AMERIKA LINIE","FRUHSTUCK","COMMERCIAL","SCHNELLDAMPFER AUGUSTE VICTORIA","CARD; ILLUS; COL; 5X8;","","GERMAN & ENGLISH; ILLUSTRATION OF STEAMER, GODDESS OF FOOD, DECORATIVE VINES & FRUITS;","1901-351","1901-02-13","HAMBURG AMERIKA LINIE","","","COMPLETE",2,22
22129,"","SPRINGFIELD CALEDONIANS","TWELFTH BURNS ANNIVERSARY","SOC","HOTEL RUSSELL ","BOOKLET; ILLUS; 4X5;","ANN","PORTRAIT OF BURNS ON COVER; PROGRAM ALO INCLUDES MUSICAL SELECTIONS, AS WELL AS TOASTS; COMMITTEE NAMES INCLUDED","1895-024","1895-01-28","SPRINGFIELD CALEDONIANS","","","COMPLETE",8,37
22130,"","SAVINGS BANKS PRESIDENTS OF STATE OF NEW YORK","ANNUAL MEETING","COMMERCIAL","DELMONICOS NEW YORK NY","CARD; 4X6.25;","ANNIVERSARY","HOT AND COLD MENU;","1907-516","1907-05-17","SAVINGS BANKS PRESIDENTS OF STATE OF NEW YORK","","","COMPLETE",2,14
22131,"","ANCIENT AND ACCEPTED SCOTTISH RITE","ANNUAL BANQUET","SOC","HOTEL IROQUOIS VALLEY OF BUFFALO NY","BOOKLET; COL; 3 X 8.75;","ANNIVERSARY","RED SEAL (OF MASONS?); RED CORD; TOASTS;","1898-136","1898-04-01","ANCIENT AND ACCEPTED SCOTTISH RITE","","","COMPLETE",6,23
22132,"","U.S.M.S. NEW YORK","DINNER","COMMERCIAL","USMS NEW YORK","CARD; 4.0X6.25; ILLUS;","","ILLUS, FLAG WITH EAGLE; PRICED WINE LIST ON REVERSE; RATE OF EXCHANGE FOR SETTLEMENT OF WINE ACCOUNTS GIVEN;","1900-753","1900-02-04","USMS NEW YORK","DOLLARS","$","COMPLETE",2,96
22133,"","AMERICAN LEGATION","DINNER","GOVT","BANGKOK THAILAND","FOLDER; ILLUS; COL; 3.5X5;","COMPL","MENU HANDWRITTEN;","1908-013","1908-01-03","AMERICAN LEGATION","","","COMPLETE",4,18
22135,"","BOSTON BOOT AND SHOE CLUB","ANNUAL MEETING","SOC","HOTEL BRUNSWICK BOSTON MA","BOOKLET; 5 X 7;","ANNIVERSARY","SPEECHES;","1907-409","1907-04-17","BOSTON BOOT AND SHOE CLUB","","","COMPLETE",8,19
22136,"","GRAND UNION","DINNER","COMMERCIAL","SARATOGA SPRINGS NY","CARD; 5.25 X 8;","","CREST; ILLUSTRATION OF 'IROQUOIS, BUFFALO, NY; 'ABSOLUTELY FIREPROOF' ON BACK;","1899-535","1899-07-28","GRAND UNION","","","COMPLETE",2,57
22137,"","PRINCESS ANNE","MENU","COMMERCIAL","VIRGINIA BEACH VA","BROADSHEET; ILLUS; COL; 5X7.75;","OTHER DAILY MENU","THIS APPEARS TO BE A BREAKFAST MENU OF SAME HOTEL; HOTEL SEAL APPEARS AT TOP OF MENU;","1897-114","1897-04-13","PRINCESS ANNE","","","COMPLETE",2,14
22138,"","MISSOURI SOCIETY","ANNUAL BANQUET","SOC","JEFFERSON HOTEL SAINT LOUIS MO","","ANNIVERSARY","INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; PROGRAM; OFFICERS AND COMMITTEES LISTED; ILLUSTRATION OF PAUL REVERE'S MIDNIGHT RIDE, TOWN OF LEXINGTON; TITLE PAGE HAS HISTORICAL SKETCHES AND LIBERTY BELL; RIBBON ATTACHMENT;","1907-421","1907-04-19","MISSOURI SOCIETY","","","COMPLETE",16,18
22139,"","ALCAZAR HOTEL","DINNER","COMMERCIAL","ST AUGUSTINE FL","CARD; 5 X 9;","","PROGRAM CALLED RIFLE'S IRISH CAKE WALK IN THE CASIN0; NOTE ABOUT PURITY OF WATER;","1901-693","1901-03-18","HOTEL ALCAZAR","","","COMPLETE",2,43
22140,"","BELVEDERE HOUSE;","DAILY BILL OF FARE","COMMERCIAL","NEW YORK NY","FOLDER; ILLUS; 7.5X11.25;","","ILLUS. PICTURE OF HOTEL ON COVER; PRICED A LA CARTE BILL OF FARE; PRICED WINE LIST;","1900-408","1900-01-19","BELVEDERE","DOLLARS","$","COMPLETE",4,473
22142,"","COLONIAL HOTEL","LUNCHEON","COMMERCIAL","NASSAUBAHAMAS","BROADSIDE; 4 X 7.5;","","","1901-256","1901-02-03","COLONIAL HOTEL","","","COMPLETE",2,61
22145,"","H.M.PARAMINDR MAHA CHULALONGKORN-KING OF SIAM","DINNER","GOV","ROYAL YACHTMAHACHAKRI","BROADSIDE; GOLD PRINTING; 4.25 X 6.75;","LUNCHEON","MENU IN FRENCH;","1897-235","1897-07-26","HMPARAMINDR MAHA CHULALONGKORN KING OF SIAM","","","COMPLETE",2,11
22147,"","UNION REPUBLICAN CLUB OF PHILADELPHIA","BANQUET","POL","BELLEVUESTRATFORD PA","BOOKLET; ILLUS; COL; 7X9;","ANNIV","WINES LISTED; PHOTOS OF PAST AND CURRENT PRESIDENTS OF CLUB; COMMITTEES AND PARTICIPANTS LISTED; COVER ON GRAY STOCK;","1905-370","1905-05-09","UNION REPUBLICAN CLUB OF PHILADELPHIA","","","COMPLETE",22,18
22148,"","CANADIAN CLUB OF NEW YORK","BANQUEST O THE BRITISH FISHERIES COMMISSION","SOC","BRUNSWICK HOTEL NY","FOLDER; ILLUS; COLOR; 3.5X8.25;","COMPLIMENTARYTESTIMONIAL","PALE BLUE; PRINTED IN RED; DRAWING OF FISH, CREST AND FLAGS; TOASTS; WINES LISTED; FRENCH;","1888-116","1888-03-02","CANADIAN CLUB OF NEW YORK","","","COMPLETE",2,24
22151,"","NEW YORK PRODUCE EXCHANGE","OPENING CELEBRATION FOR STEAMER SAM SLOAN","COM","HOFFMAN HOUSEMADISON SQUARENY","CARD;4.5X7;","OTHERCOMMERCIAL OPENING","NAMES OF COMMITTEE MEMBERS LISTED","1884-010","1884-05-06","NEW YORK PRODUCE EXCHANGE","","","COMPLETE",2,55
22152,"","NORDDEUTSCHER LLOYD BREMEN","FRUHSTUCK","COMMERCIAL","SCHNELLDAMPFER HOHENZOLLERN","CARD; ILLUS; COL; 5.25X8;","","GERMAN & ENGLISH; ILLUSTRATION OF STEAMSHIP SURROUNDED BY SMALL BOATS IN HARBOR; CHAMPAGNE IN ICE BUCKET, PLATTERS OF FRUIT AT TOP;","1901-842","1901-04-05","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,77
22153,"","FRIENDLY SONS OF ST. PATRICK","ST PATRICKS DAY","SOC","ESSEX COUNTY COUNTRY CLUB ORANGE NJ","BOOKLET; ILLUS; 4.5X5.5;","ETH","INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; PROGRAM OF TOASTS INCLUDES IRISH LITERARY QUOTATIONS; DECORATIVE SEAL ON COVER","1895-0052","1895-03-18","FRIENDLY SONS OF ST PATRICK","","","COMPLETE",4,24
22154,"","GRAND UNION HOTEL","DINNER MENU","COMMERCIAL","SARATOGA SPRINGS NY","FOL; ILLUS; 5 x 7.25.;","","DRAWINGS OF HOTEL, LAWN & SQUARES; INCLUDES PRICED WINE LIST & NAME OF LESSEE","1881-17","1881-08-26","GRAND UNION HOTEL","DOLLARS","$","COMPLETE",4,157
22155,"","THE CONTINENTAL","LUNCH  DINNER","COM","PHILPA","FOLDER;CARD INSERT;INSERT GREEN;4.5X6.5;INSERT 4X5.5","","EMBOSSED DESIGN;WINE LIST;HOURS FOR MEALS;HOURS FOR CHILDREN,NURSES","1880-21","1880-02-16","THE CONTINENTAL","DOLLARS","$","COMPLETE",4,68
22158,"","TAIT'S CAFE","DINNER","COMMERCIAL","VAN NESS AVENUE AND EDDY STREET SAN FRANCISCO CA","FOLDER; COL; ILLUS; 6.5 X 12.5;","","BEER; PRICED MENU; ILLUSTRATION OF FLIRTATIOUS MAN AND WOMAN;","1907-536","1907-05-22","TAITS CAFE","DOLLARS","$","COMPLETE",4,143
22159,"","TRUSTEES OF WASHINGTON SAVINGS BANK","BANQUET","PROF","LOTOS CLUB NEW YORK CITY","FOLDER; ILLUS; 5.5X8.25;","COMPLIMENTARYTESTIMONIAL","WINES LISTED; PHOTO OF HON. MC MILLAN; OFFICERS AND TRUSTEES OF THE WASHINGTON SAVINGS BANK LISTED;","1907-198","1907-02-09","TRUSTEES OF WASHINGTON SAVINGS BANK","","","COMPLETE",8,19
22160,"","HOTEL VENDOME","TABLE DHOTE LUNCH","COMMERCIAL","NEW YORK","CARD; 4.25 X 5.5;","","HOTEL CREST;","1900-488","1900-01-24","HOTEL VENDOME","","","COMPLETE",2,23
22161,"","FRIENDS OF MR. CHARLES A. BRUNN","COMPLIMENTARY DINNER IN HONOR OF HIS APPOACHING MARRIAGE","OTHER PRIVATE FRIENDS","IROQUOIS HOTEL ","BOOKLET; 6.75X10;","RITE","LISTS COCKTAIL, WINES, CHAMPAGNE SERVED WITH INDIVIDUAL COURSES; GUEST LIST; WHITE SATIN RIBBON WOVEN THROUGH PAPER;","1901-846","1901-04-06","FRIENDS OF MR CHARLES A BRUNN","","","COMPLETE",4,24
22162,"","TAMPA BAY HOTEL","LUNCH","COM","TAMPAFLA","BROADSIDE; 4.5 X 7;","","","1901-753","1901-03-25","TAMPA BAY HOTEL","","","COMPLETE",2,39
22163,"","(DEMOCRATIC CLUB)","DINNER","POL","DEMOCRATIC CLUBNEW YORK","BOOKLET;ILL;COL;5X7.5;","COMPLIMENTARYTESTIMONIAL","WINES SERVED;NAMES;","1899-730","1899-11-16","DEMOCRATIC CLUB","","","COMPLETE",8,28
22165,"","DENNETT'S","DAILY BILL OF FARE","COMMERCIAL","190 FULTON STNY","BROADSHEET;5X9.5;","","HOURS & PRICES LISTED;ALL BRANCHES & ADDRESSES NOTED;","1892-122","1892-01-01","DENNETTS","DOLLARS","$","COMPLETE",2,33
22166,"","PATENT LAW ASSOCIATON OF WASHINGTON","ANNUAL BANQUET","PROF","SHOREHAM THE WASHINGTO DC","BOOKLET; 5X7;","ANNIVERSARY","INCLUDES WINE LIST; RIBBON ATTACHMENT;","1908-053","1908-01-18","PATENT LAW ASSOCIATON OF WASHINGTON","","","COMPLETE",4,25
22167,"","NATIONAL GERMAN-AMERICAN ALLIANCE","DINNER","PATR","ON BOARDSTEAMER PURITANFALL RIVER LINE","FOLDER; ILLUS;3.5X7;","TRIP","","1907-868","1907-10-07","NATIONAL GERMAN AMERICAN ALLIANCE","","","COMPLETE",3,17
22168,"","LICENSED VICTUALLERS' ASYLUM","ANNIVERSARY DINNER","PROF","CRYSTAL PALACE LONDON ENGLAND","FOLDER; 4.5X7;","ANNIVERSARY","PRICED WINE LIST; OFFICERS LISTED;","1906-570","1906-07-12","LICENSED VICTUALLERS ASYLUM","SHILLINGS","s","COMPLETE",4,28
22169,"","MERCANTILE CLUB","BOARD OF DIRECTORS DINNER","COMMERCIAL","UNION LEAGUE PHILADELPHIA PA","BOOKLET; 4.5 X 6.75","OTHER MEETING","WINES; WHIE RIBBON;","1895-107","1895-06-04","MERCANTILE CLUB","","","COMPLETE",8,19
22170,"","HOTEL ALGAZAR","LUNCHEON","COMMERCIAL","ST AUGUSTINE FL","CARD; 4 X 7.5;","","LOGO;","1901-209","1901-01-27","HOTEL ALCAZAR","","","COMPLETE",2,57
22171,"","BILLIARD POOL AND BOWLING TOURNAMENT","DINNER","SOC","UNION LEAGUE","BOOKLET; ILLUS; COL; 6 X 9;","ANNIVERSARY","WINES WITH EACH COURSE; HUMOROUS ILLUSTRATIONS; GUEST LIST; GREEN SUEDE COVER;","1907-324","1907-03-23","BILLIARD POOL AND BOWLING TOURNAMENT","","","COMPLETE",16,22
22172,"","SANTA FE ROUTE DINING CAR SERVICE","LUNCHEON","COMMERCIAL","EN ROUTE","CARD; COL; 4.5 X 6.75;","DAILY MEAL","BLUE AND BLACK PRINT; DECKEL EDGE; PART OF HARVEY CHAIN;","1899-697","1899-11-10","SANTA FE ROUTE DINING CAR SERVICE","","","COMPLETE",2,16
22173,"","ROYAL PALM HOTEL","DINNER","COMMERCIAL","MIAMI BISCAYNE BAY FL","CARD; ILLUS; COL; 4.5X8;","","HOTEL SEAL AT TOP OF MENU;","1901-532","1901-03-02","ROYAL PALM HOTEL","","","COMPLETE",2,39
22174,"","NORDDEUTSCHER LLOYD BREMEN","LUNCH","COMMERCIAL","SCHNELLDAMPFER HOHENZOLLERN","CARD; ILLUS; COL; 5.25X8;","","GERMAN & ENGLISH; ILLUSTRATION OF ORIENTAL FEMALE FIGURE AND A SAILBOAT;","1901-935","1901-04-16","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,89
22175,"","ROYAL PALM HOTEL","DINNER","COM","MIAMI BAY BISCAYNEFLA","BROADEIDE; HOTEL EMBLEM; COL; 4.5 X 8.25;","","","1901-725","1901-03-21","ROYAL PALM HOTEL","","","COMPLETE",2,43
22177,"","GOVERNMENT HOUSE","DINNER","GOVT","CALCUTTA INDIA","CARD; 3.5 X 6;","COMPLIMENTARYTESTIMONIAL","MENU IN FRENCH; CREST; SPONSOR AND EVENT NOTED BY FEB;","1906-020","1906-01-05","GOVERNMENT HOUSE","","","COMPLETE",2,11
22178,"","TENNESSEE CENTENNIAL EXPOSITION","DINNER","COMMERCIAL","SR RRENROUTE NASHVILLE TO WASHINGTON DC","CARD;5.5X7.5;","COMPLIMENTARYTESTIMONIAL","","1897-191","1897-06-14","TENNESSEE CENTENNIAL EXPOSITION","","","COMPLETE",2,35
22179,"","VASSAR COLLEGE","REUNION  CLASS OF 1897","EDUC","","BOOKLET; ILLUS; RIBBON TRIM; 4 X 5;","ANNIVERSARYERSARY","COMMITTEE MEMBERS & SPEAKERS LISTED;","1899-471","1899-06-13","VASSAR COLLEGE","","","COMPLETE",12,8
22181,"","YOUNG'S NEW MILLION DOLLAR PIER","DINNER","COMMERCIAL","ATLANTIC CITY NJ","FOLDER; ILLUS; 8 X 10;","COMPLIMENTARYTESTIMONIAL","COCKTAILS AND CHAMPAGNE; PHOTOS OF PIER, DIGNITARIES, AND HOTEL; INFORMATION ABOUT PIER;","1906-641","1906-07-26","YOUNGS NEW MILLION DOLLAR PIER","","","COMPLETE",4,19
22183,"","HOTEL RYAN","BANQUET ON RECEPTION OF SILVER SERVICE GIVEN BY THE CHAMBER OF COMMERCE OF TAMPICO MEXICO","PROF","ST PAUL MN","FOLDER; COL; 5 X 6.5;","COMPLIMENTARYTESTIMONIAL","MARTINIS AND WINES; GREEN STOCK AND PRINT;","1905-612","1905-08-03","HOTEL RYAN","","","COMPLETE",4,18
22184,"","OHIO SOCIETY OF NEW YORK","CENTENNIAL CELEBRATION","PATR","DELMONICOS NY","CARD; ILLUS; 4.5X7.25;","COMPLIMENTARYTESTIMONIAL","ILLUS. OF FRONTIERSMAN; GEORGE WASHINGTON; FRENCH; PRICED WINELIST; GUEST LIST INCLUDED;","1888-034","1888-04-07","OHIO SOCIETY OF NEW YORK","DOLLARS","$","COMPLETE",6,24
22185,"","RIDGEFIELD HOSE CO. - NO.1","SHORE DINNER","PROF","MEISTERS CASINOBERGEN POINTNJ","BOOKLET/ILLUS; COL; 4X5.5;","ANNUAL","OFFICERS LISTED & COMMITTEE MEMBERS NOTED; BOOKLET IS FILLED WITH LOCAL ADVERTISERS;","1905-0686","1905-09-02","RIDGEFIELD HOSE CO NO1","","","COMPLETE",10,13
22186,"","NEW TIFFT HOUSE","EASTER SUNDAY DINNER","COMMERCIAL","BUFFALO NY","FOLDER; ILLUS; COL; 4.5X8;","RELIGIOUS HOLIDAY","SILK RIBBON ATTACHMENT; DRAWING OF WOMAN ON INNER PAGE;","1899-288","1899-04-02","NEW TIFFT HOUSE","","","COMPLETE",8,37
22187,"","MASSACHUSETTS HOTEL ASSOCIATION","ANNUAL BANQUET","PROF","PARKER HOUSEBOSTONMASS","6 PAGE BOOKLET;PINK RIBBON TRIM;ILLUS;5 X 7.5;","ANNUAL","ORCH.LISTED;PROGRAM LISTED;LIST OF INVITED GUESTS & COMMITTEE MEMBERS;","1895-189","1895-11-21","MASSACHUSETTS HOTEL ASSOCIATION","","","COMPLETE",4,21
22188,"","MARYLAND HOTEL MEN'S ASSOCIATION","TRIP TO JAMESTOWN VA FOR HOTEL MENS MUTUAL BENEFIT ASSOCIATION OF THE UNITED STATES AND CANADA","PROF","SS GEORGIA","CARD  ILLUS; 6 X 9.25;","COMPLIMENTARYTESTIMONIAL","COCKTAILS, AND WINES AND CHAMPAGNES WITH EACH COURSE;; ILLUSTRATION OF BALTIMORE;","1907-531","1907-05-19","MARYLAND HOTEL MENS ASSOCIATION","","","COMPLETE",2,28
22190,"","COLLEAGUES AND FRIENDS OF PROFESSOR JOSEPH LOVERING","DINNER","EDUC","HOTEL VENDOMEMASS","FOLDER; ILL; 4.75X6.5","COMPLIMENTARYTESTIMONIAL","HOTEL VENDOME ILLUSTRATED ON FRONT CARD,CARDS TIED WITH CORD ON LEFT SIDE","1889-008","1889-01-15","COLLEAGUES AND FRIENDS OF PROFESSOR JOSEPH LOVERING","","","COMPLETE",4,38
22191,"","SMITH & MCNELL'S","DINNER MENU","COMMERCIAL","199 WASHINGTON STREET NY NY","FOLDER; 7 X 11.25;","","PRICED MENU; PRICED WINE LIST; 'HOMEMADE ' WINES LISTED; LADIES' ENTRANCE; ROOMS FOR RENT NOTED;","1900-654","1900-01-31","SMITH  MCNELLS","DOLLARS","$","COMPLETE",4,421
22194,"","RED STAR LINE","DINNER","COMMERCIAL","SS FRIESLAND","BROADSHEET; 5.25X8.0; ILLUS;","","ILLUS, STEAMSHIP SURROUNDED BY SAILING SHIPS AND ROWBOAT;","1900-584","1900-01-29","RED STAR LINE","","","COMPLETE",2,20
22195,"","SMITH AND MCNELLS","BREAKFAST AND SUPPER","COMMERCIAL","199 WASHINGTON STREET NEW YORK","FOLDER;ILLUS; COL; 7 X 11.5;","","PRICED WINE LIST AND MENU; DRAWING OF HOTEL; BUFF STOCK; DATE NOTED BY FEB;","1907-168","1907-02-03","SMITH  MCNELLS","DOLLARS","$","COMPLETE",4,313
22196,"","GEORGE R. BIDWELL","DINNER","POL","TRANSPORTATION CLUB NY","BOOKLET; ILLUS;","COMPLIMENTARYTESTIMONIAL","OCCASION AND DATE HANDWRITTEN ON COVER; PHOTOS FRONT AND BACK; WINES;","1896-199","1896-11-01","GEORGE R BIDWELL","","","COMPLETE",8,21
